Date,Open,High,Low,Close,Volume
03-01-2022,144.48,145.55,143.5,145.07,1261225
04-01-2022,145.55,146.61,143.82,144.42,1146389
05-01-2022,144.18,144.3,137.52,137.65,2482076
06-01-2022,137.5,139.69,136.76,137.55,1452452
07-01-2022,137.91,138.25,135.79,137,970412
10-01-2022,135.1,138.64,133.14,138.57,1704784
11-01-2022,138.18,140.33,136.81,140.02,1175062
12-01-2022,141.55,142.81,141.11,141.65,1182079
13-01-2022,141.84,143.19,138.91,139.13,1328254
14-01-2022,137.5,141.2,137.5,139.79,1191296
18-01-2022,136.6,137.39,135.62,136.29,1370098
19-01-2022,136.94,138.4,135.5,135.65,1039764
20-01-2022,136.51,137.91,133.14,133.51,1096528
21-01-2022,133.01,134.76,130,130.09,2095961
24-01-2022,126.03,130.78,124.64,130.37,2764602
25-01-2022,128.44,129.34,126.38,126.74,1800430
26-01-2022,130.59,132.81,127.15,129.24,1981544
27-01-2022,131.36,132.61,128.95,129.12,1514251
28-01-2022,130,133.37,128.69,133.29,1525878
31-01-2022,134.2,135.84,132.27,135.7,1702778
01-02-2022,137.84,138.2,134.57,137.88,2560160
02-02-2022,151.86,152.1,145.56,148.04,4487538
03-02-2022,145.29,149.12,142.21,142.65,2846507
04-02-2022,143.02,144.54,139.82,143.02,2461220
07-02-2022,143.71,143.85,138.7,138.94,2230537
08-02-2022,138.99,139.84,136.87,139.21,1712752
09-02-2022,140.85,142.18,140.38,141.45,1431358
10-02-2022,139.5,141.43,138.05,138.6,1650885
11-02-2022,138.75,139.28,133.29,134.13,1940440
14-02-2022,133.37,136.17,133.3,135.3,1339640
15-02-2022,137.47,137.9,135.54,136.43,1328878
16-02-2022,136.43,137.95,134.82,137.49,1280483
17-02-2022,136.15,136.84,132.2,132.31,1548406
18-02-2022,133.04,133.82,130.31,130.47,1592930
22-02-2022,129.99,131.9,127.74,129.4,1945329
23-02-2022,131.08,131.75,127.5,127.59,1321564
24-02-2022,125,133.04,124.76,132.67,2158254
25-02-2022,133.53,135.39,131.76,134.52,1311793
28-02-2022,133.28,135.64,132.83,134.89,1483784
01-03-2022,134.48,136.11,133.38,134.17,1231996
02-03-2022,134.61,135.62,133.43,134.75,1198337
03-03-2022,135.98,136.71,133.43,134.31,988965
04-03-2022,133.38,134.2,130.41,132.12,1223612
07-03-2022,131.9,131.9,126.41,126.46,1958895
08-03-2022,126.25,131.25,125.86,127.28,1762478
09-03-2022,131.4,134.2,130.09,133.87,1612872
10-03-2022,131.46,133.54,131.4,132.68,1213260
11-03-2022,134,134.2,130.3,130.48,1329990
14-03-2022,130.57,131.03,126.41,126.74,1512693
15-03-2022,127.74,130.52,126.57,129.66,1514630
16-03-2022,131,133.77,129.2,133.69,1602910
17-03-2022,133.32,134.74,132.72,134.6,1199719
18-03-2022,133.88,136.91,132.93,136.8,2294985
21-03-2022,136.85,137.58,134.61,136.48,1331623
22-03-2022,136.5,141.5,136.5,140.28,1488843
23-03-2022,139.14,140.03,138.17,138.5,1265116
24-03-2022,139.27,141.4,138.04,141.31,1027236
25-03-2022,141.75,141.96,139.7,141.52,964454
28-03-2022,140.68,141.98,139.83,141.95,1188654
29-03-2022,143.16,144.16,142.48,143.25,1433921
30-03-2022,142.87,143.48,142.17,142.64,1052319
31-03-2022,142.45,142.64,139.62,139.65,1475816
01-04-2022,140.01,140.95,138.8,140.7,1174001
04-04-2022,140.82,144.04,140.82,143.64,954245
05-04-2022,143.4,143.59,140.94,141.06,962778
06-04-2022,139.16,139.85,136.42,137.18,1178730
07-04-2022,136.62,137.7,134.86,136.47,972427
08-04-2022,136.25,136.25,133.75,134.01,821724
11-04-2022,132.9,132.94,129.62,129.8,1209367
12-04-2022,132.42,132.42,127.58,128.37,1150161
13-04-2022,128.63,130.66,128.44,130.29,977148
14-04-2022,130.65,130.71,127.11,127.25,1174168
18-04-2022,127.41,128.71,126.58,127.96,745860
19-04-2022,128.08,130.9,127.45,130.53,1135965
20-04-2022,131.28,131.92,127.89,128.25,1130469
21-04-2022,129.35,130.31,124.65,124.94,1507877
22-04-2022,125,125.45,119.14,119.61,2320515
25-04-2022,119.43,123.28,118.77,123.25,1726090
26-04-2022,122.75,122.75,119.16,119.51,2469652
27-04-2022,114.37,117.5,113.12,115.02,3111906
28-04-2022,117.12,120.44,115.14,119.41,1839547
29-04-2022,117.58,118.96,114.69,114.97,1684655
02-05-2022,113.91,117.34,113.4,117.16,1513982
03-05-2022,116.77,119.3,116.63,118.13,1060787
04-05-2022,118,123.14,115.74,122.58,1661573
05-05-2022,120.22,121.23,115.18,116.75,2154452
06-05-2022,115.52,117.5,114.14,115.66,1765474
09-05-2022,113.3,115.56,112.55,113.08,1726048
10-05-2022,116.04,116.69,113.38,114.58,1557889
11-05-2022,113.71,116.67,113.65,113.96,1825082
12-05-2022,111.94,114.86,110.11,113.16,2073244
13-05-2022,114.85,118.09,114,116.52,1486878
16-05-2022,115.38,116.61,114.34,114.79,1164119
17-05-2022,117.23,117.23,115.34,116.7,1078804
18-05-2022,115.24,115.7,112.14,112.4,1399138
19-05-2022,111.84,113.59,110.47,110.75,1459587
20-05-2022,112.09,112.55,106.37,109.31,1879301
23-05-2022,110.1,112.01,109.15,111.67,1577911
24-05-2022,106.38,106.4,102.21,105.93,3019319
25-05-2022,105.14,106.54,104.21,105.84,1894967
26-05-2022,106.05,108.96,105.49,108.3,1514374
27-05-2022,109.79,112.87,109.55,112.8,1496221
31-05-2022,113.08,116.43,112.57,114.04,2565096
01-06-2022,114.93,117.4,113.55,114.14,1431464
02-06-2022,114.19,117.9,113.31,117.75,1374770
03-06-2022,115.99,116.36,113.67,114.56,1247604
06-06-2022,116.74,119.4,116.53,117.01,1189336
07-06-2022,115.65,117.75,115.13,117.23,1320677
08-06-2022,116.88,118.65,116.7,117.24,1127213
09-06-2022,116.34,118.35,114.87,114.92,1157080
10-06-2022,112.78,113.5,110.86,111.43,1567487
13-06-2022,107.45,109.22,106.59,106.88,1837810
14-06-2022,106.89,108.46,106.35,107.19,1274047
15-06-2022,108.9,112.06,108.12,110.39,1659601
16-06-2022,108.15,109.29,105.79,106.64,1765662
17-06-2022,106.54,109.25,105.63,107.87,2175833
21-06-2022,109.7,112.67,109.29,112.02,1950514
22-06-2022,111.16,113.77,110.72,112.03,1196086
23-06-2022,112.95,113.2,111.03,112.68,1235486
24-06-2022,113.6,118.64,113.6,118.54,1956138
27-06-2022,118.94,119.25,116,116.62,1641965
28-06-2022,116.35,117.86,112.44,112.57,1415811
29-06-2022,112.15,113.66,111.55,112.26,931393
30-06-2022,110.5,111.33,107.31,109.37,1902302
01-07-2022,108.34,109.81,107.11,109.08,1551394
05-07-2022,107.51,114.05,106.25,113.89,1821469
06-07-2022,114.09,116.35,112.25,115.21,1442634
07-07-2022,116.01,119.86,115.53,119.31,1609197
08-07-2022,117.55,120.44,117.51,120.17,1454110
11-07-2022,118.65,118.79,116.23,116.52,1341523
12-07-2022,116.84,117.85,114.62,114.85,1248508
13-07-2022,112.64,115.16,111.82,112.19,1947943
14-07-2022,110.83,111.99,109.33,111.44,1618277
15-07-2022,112.96,114,111.82,112.77,1716538
18-07-2022,113.44,114.8,109.3,109.91,33353985
19-07-2022,111.73,114.81,110.5,114.62,30992331
20-07-2022,114.06,116.33,113.26,114.7,26780088
21-07-2022,115.09,115.21,111.91,115.04,27267848
22-07-2022,111.81,113.18,107.6,108.36,44455304
25-07-2022,108.88,110.58,107.01,108.21,28289942
26-07-2022,107.43,107.74,104.76,105.44,36626630
27-07-2022,109.6,114.4,108.42,113.6,41474618
28-07-2022,112.8,114.7,111.85,114.59,23303844
29-07-2022,113.4,116.9,113.23,116.64,31336183
01-08-2022,115.53,117.12,114.69,115.48,22856202
02-08-2022,114.43,117.08,114.26,115.9,17911039
03-08-2022,116.34,119.42,116.15,118.78,25302816
04-08-2022,118.3,119.5,117.71,118.87,15757698
05-08-2022,116.93,118.86,116.71,118.22,15615663
08-08-2022,119.12,120.86,117.83,118.14,17061112
09-08-2022,117.99,118.2,116.56,117.5,15424257
10-08-2022,119.59,121.78,119.36,120.65,20497021
11-08-2022,122.08,122.34,119.55,119.82,16671627
12-08-2022,121.16,122.65,120.4,122.65,16121087
15-08-2022,122.21,123.26,121.57,122.88,15524951
16-08-2022,122.32,123.23,121.54,122.51,15626171
17-08-2022,120.93,122.15,120.2,120.32,17589157
18-08-2022,120.23,121.69,119.55,120.86,15652029
19-08-2022,119.87,120,117.67,118.12,20186983
22-08-2022,116.1,116.5,114.67,115.07,19316024
23-08-2022,114.32,115.93,114.3,114.77,14390691
24-08-2022,114.45,115.72,113.78,114.7,16051174
25-08-2022,115.15,117.78,115.05,117.7,14874666
26-08-2022,115.81,116.6,111.22,111.3,31698668
29-08-2022,110.78,111.96,109.81,110.34,20386142
30-08-2022,111.03,111.37,108.8,109.91,20548202
31-08-2022,111.63,111.77,109.05,109.15,25897978
01-09-2022,109.2,111.22,108.19,110.55,22784385
02-09-2022,111.34,111.68,108.13,108.68,20618080
06-09-2022,108.14,108.88,106.51,107.48,20565050
07-09-2022,107.76,110.99,107.62,110.48,22987178
08-09-2022,109.18,110.58,108.06,109.42,21660654
09-09-2022,110.05,112,110,111.78,21745034
12-09-2022,111.99,112.64,110.93,111.87,19732905
13-09-2022,108.89,109.37,105,105.31,33014991
14-09-2022,105.44,106.1,104.5,105.87,22115805
15-09-2022,105.01,106.21,103.31,103.9,26494933
16-09-2022,102.97,104.03,101.86,103.63,64540115
19-09-2022,102.54,104.02,102.37,103.85,19738603
20-09-2022,102.88,103.17,101.12,101.83,24001668
21-09-2022,102.24,103.49,99.99,100.01,26596757
22-09-2022,99.45,101.68,99.41,100.57,21272675
23-09-2022,100.06,100.11,98.01,99.17,25656959
26-09-2022,98.61,100.44,98.38,98.81,22437938
27-09-2022,99.91,100.46,97.34,98.09,24224988
28-09-2022,98.02,101.4,97.8,100.74,24616999
29-09-2022,99.3,99.3,96.52,98.09,21921520
30-09-2022,97.73,99.49,96.03,96.15,26277832
03-10-2022,97.22,99.97,97.02,99.3,24840028
04-10-2022,101.04,102.72,101.04,102.41,22580931
05-10-2022,100.69,102.74,99.74,102.22,18475515
06-10-2022,101.5,103.73,101.5,102.24,17156240
07-10-2022,100.65,101.42,99.21,99.57,24249910
10-10-2022,99.85,99.99,97.87,98.71,16529897
11-10-2022,98.25,100.12,97.25,98.05,21617727
12-10-2022,98.27,99.65,97.67,98.3,17343431
13-10-2022,95.93,100.53,95.27,99.71,32812220
14-10-2022,100.63,101.29,97.03,97.18,22624832
17-10-2022,99.52,101.77,99.51,100.78,23311604
18-10-2022,103.94,104.22,100.65,101.39,21610541
19-10-2022,100.7,101.66,99.64,100.29,21573686
20-10-2022,100.82,103,99.97,100.53,25125082
21-10-2022,98.46,101.62,98.23,101.48,28988727
24-10-2022,102.09,103.1,100.3,102.97,24680831
25-10-2022,103.3,105.1,103.02,104.93,29910170
26-10-2022,96.76,98.54,94.57,94.82,71671814
27-10-2022,94.31,95.17,91.9,92.6,54036485
28-10-2022,92.53,96.86,92.32,96.58,35696925
31-10-2022,95.78,96.35,94.38,94.66,29868714
01-11-2022,95.59,96.17,90.43,90.5,43220599
02-11-2022,90.91,91.3,87.01,87.07,43553551
03-11-2022,86.35,86.55,83.45,83.49,48510364
04-11-2022,85.51,86.73,83.88,86.7,40173284
07-11-2022,87.34,88.94,86.96,88.65,26899879
08-11-2022,89.16,90.41,87.65,88.91,30172001
09-11-2022,88.55,89.49,87.36,87.4,26743883
10-11-2022,92.34,94.55,91.65,94.17,42371216
11-11-2022,94.71,97.36,94.16,96.73,30569112
14-11-2022,95.5,97.18,95.11,96.03,24170076
15-11-2022,98.67,100.42,97.02,98.72,31830969
16-11-2022,98.02,99.85,97.9,98.99,24660195
17-11-2022,97.18,99.48,97.1,98.5,21818732
18-11-2022,99.01,99.16,96.74,97.8,24969880
21-11-2022,97.56,98.72,95.67,95.83,18696874
22-11-2022,96.16,97.55,94.41,97.33,18868850
23-11-2022,97.34,99.07,97.34,98.82,17568859
25-11-2022,98.47,98.94,97.53,97.6,8567819
28-11-2022,97.2,97.83,95.89,96.25,19981974
29-11-2022,96,96.39,94.39,95.44,20220007
30-11-2022,95.12,101.45,94.67,101.45,39888074
01-12-2022,101.4,102.59,100.67,101.28,21771536
02-12-2022,99.37,101.15,99.17,100.83,18821527
05-12-2022,99.82,101.75,99.36,99.87,19955546
06-12-2022,99.67,100.21,96.76,97.31,20877623
07-12-2022,96.77,97.31,95.03,95.15,26647877
08-12-2022,95.69,95.87,93.8,93.95,25593232
09-12-2022,93.9,94.49,93.02,93.07,21885308
12-12-2022,93.09,93.87,91.9,93.56,27380948
13-12-2022,98.07,99.8,95.38,95.85,34788522
14-12-2022,95.54,97.22,93.94,95.31,26452939
15-12-2022,93.54,94.03,90.43,91.2,28298756
16-12-2022,91.2,91.75,90.01,90.86,48485507
19-12-2022,90.88,91.2,88.93,89.15,23020537
20-12-2022,88.73,89.78,88.04,89.63,21976846
21-12-2022,89.73,90.92,88.91,90.25,20336387
22-12-2022,88.93,89.18,86.94,88.26,23656066
23-12-2022,87.62,90.1,87.62,89.81,17815010
27-12-2022,89.31,89.5,87.54,87.93,15470870
28-12-2022,87.5,88.52,86.37,86.46,17879567
29-12-2022,87.03,89.37,86.99,88.95,18280660
30-12-2022,87.37,88.83,87.03,88.73,19190296
03-01-2023,89.83,91.55,89.02,89.7,20738457
04-01-2023,91.01,91.24,87.8,88.71,27046483
05-01-2023,88.07,88.21,86.56,86.77,23136084
06-01-2023,87.36,88.47,85.57,88.16,26612628
09-01-2023,89.2,90.83,88.58,88.8,22996681
10-01-2023,86.72,89.48,86.7,89.24,22855590
11-01-2023,90.06,92.45,89.74,92.26,25998844
12-01-2023,92.4,92.62,90.57,91.91,22754216
13-01-2023,91.53,92.98,90.93,92.8,18630709
17-01-2023,92.78,92.97,90.84,92.16,22935823
18-01-2023,92.94,93.59,91.4,91.78,19641622
19-01-2023,91.39,94.4,91.38,93.91,28707653
20-01-2023,95.95,99.42,95.91,99.28,53704763
23-01-2023,99.13,101.4,98.75,101.21,31791782
24-01-2023,99.55,101.09,98.7,99.21,27391372
25-01-2023,97.2,97.72,95.26,96.73,31000850
26-01-2023,98.28,99.21,96.82,99.16,24542060
27-01-2023,99.05,101.58,98.97,100.71,29020354
30-01-2023,98.75,99.41,97.52,97.95,24365142
31-01-2023,97.86,99.91,97.79,99.87,22306778
01-02-2023,99.74,102.19,98.42,101.43,26392568
02-02-2023,106.79,108.82,106.54,108.8,46622627
03-02-2023,103.51,108.02,103.3,105.22,36823421
06-02-2023,102.69,104.7,102.21,103.47,25573046
07-02-2023,103.63,108.67,103.55,108.04,33738828
08-02-2023,102.69,103.58,98.46,100,73546029
09-02-2023,100.54,100.61,93.86,95.46,97798573
10-02-2023,95.74,97.02,94.53,94.86,49325275
13-02-2023,95.01,95.35,94.05,95,43116559
14-02-2023,94.66,95.18,92.65,94.95,42513079
15-02-2023,94.74,97.34,94.36,97.1,37029885
16-02-2023,95.54,97.88,94.97,95.78,35642106
17-02-2023,95.07,95.75,93.45,94.59,31095067
21-02-2023,93.24,93.41,92,92.05,28367198
22-02-2023,91.93,92.36,90.87,91.8,29891135
23-02-2023,92.13,92.13,90.01,91.07,32423720
24-02-2023,89.63,90.13,88.86,89.35,31295619
27-02-2023,90.09,90.45,89.61,90.1,22724262
28-02-2023,89.54,91.45,89.52,90.3,30546912
01-03-2023,90.16,91.2,89.85,90.51,26323876
02-03-2023,89.86,92.48,89.77,92.31,23344562
03-03-2023,92.74,94.11,92.66,94.02,30242538
06-03-2023,94.36,96.3,94.3,95.58,28288206
07-03-2023,95.42,96.09,93.84,94.17,24101536
08-03-2023,94.41,96.24,94.41,94.65,25395200
